Time [s],Pressure [mbar],N injection,Time opening [ms],Mass [g]
1618828600.85625,442,5246,5,38.437
1618828603.49728,441.8125,5272,5,38.632
1618828606.16054,441.6875,5298,5,38.791
1618828608.8695,441.5,5325,5,38.999
1618828611.56765,441.1875,5352,5,39.157
1618828614.24427,441.0625,5378,5,39.35
1618828616.89347,440.9375,5405,5,39.507
1618828619.53319,440.625,5431,5,39.763
1618828622.1796,440.5,5457,5,39.916
1618828624.80921,440.3125,5483,5,40.101
1618828627.48019,440.1875,5509,5,40.334
1618828630.12027,439.9375,5536,5,40.491
1618828632.77771,439.6875,5562,5,40.641
1618828635.42129,439.5625,5588,5,40.893
1618828638.07351,439.375,5614,5,41.071
1618828640.71019,439.25,5641,5,41.23
1618828643.36484,438.9375,5666,5,41.405
1618828646.00774,438.75,5693,5,41.646
1618828648.65919,438.625,5719,5,41.796
1618828651.32825,438.375,5746,5,42.021
1618828654.00089,438.3125,5772,5,42.174
1618828656.65696,438,5798,5,42.376
1618828659.35573,437.875,5825,5,42.57
1618828662.06719,437.5625,5852,5,42.752
1618828664.73478,437.375,5878,5,42.905
1618828667.37704,437.1875,5904,5,43.098
1618828670.02852,437.0625,5931,5,43.336
1618828672.6797,436.8125,5957,5,43.554
1618828675.3254,436.5,5983,5,43.734
1618828677.97241,436.375,6009,5,43.893
1618828683.26584,436.0625,6062,5,44.234
1618828688.56141,435.6875,6114,5,44.581
1618828691.2062,435.5,6141,5,44.847
1618828693.86566,435.1875,6166,5,45.005
1618828696.57197,435.0625,6193,5,45.185
1618828699.26026,434.8125,6220,5,45.345
1618828701.96391,434.8125,6247,5,45.577
1618828704.66259,434.4375,6273,5,45.757
1618828707.35229,434.25,6300,5,45.968
1618828710.05653,434.125,6327,5,46.151
1618828712.75366,433.875,6354,5,46.321
1618828715.45229,433.8125,6380,5,46.539
1618828718.13554,433.5,6407,5,46.73
1618828720.77321,433.375,6433,5,46.886
1618828723.42555,433.125,6460,5,47.125
1618828726.0773,432.9375,6485,5,47.279
1618828728.70051,432.6875,6512,5,47.462
1618828731.37472,432.5625,6538,5,47.64
1618828734.07222,432.375,6564,5,47.855
1618828736.77643,432.125,6591,5,48.038
1618828739.47638,432,6618,5,48.242
1618828742.18022,431.8125,6645,5,48.398
1618828744.86728,431.5625,6671,5,48.637
1618828747.56683,431.4375,6698,5,48.789
1618828750.24869,431.1875,6725,5,48.975
1618828752.89555,431,6752,5,49.234
1618828758.19503,430.75,6804,5,49.571
1618828760.90656,430.4375,6831,5,49.719
1618828763.62853,430.25,6858,5,49.961
1618828766.28048,430.0625,6883,5,50.117
1618828768.93459,429.875,6910,5,50.345
1618828771.63376,429.6875,6937,5,50.497
1618828774.33232,429.4375,6963,5,50.682
1618828779.66132,429.1875,7016,5,51.089
1618828782.30846,429,7043,5,51.241
1618828784.95195,428.75,7068,5,51.428
1618828787.59901,428.5625,7095,5,51.637
1618828790.25189,428.4375,7121,5,51.899
1618828792.89283,428.25,7148,5,52.045
1618828795.54925,428,7173,5,52.242
1618828798.19931,427.75,7200,5,52.444
1618828800.83675,427.625,7226,5,52.626
1618828803.48252,427.4375,7252,5,52.803
1618828806.13996,427.1875,7278,5,53.041
1618828808.78422,427.0625,7305,5,53.213
1618828811.4389,426.875,7331,5,53.366
1618828814.14231,426.6875,7358,5,53.541
1618828816.84027,426.4375,7384,5,53.739
1618828819.52865,426.3125,7411,5,53.922
1618828822.2326,426.1875,7438,5,54.103
1618828824.93175,425.9375,7464,5,54.321
1618828827.62389,425.75,7491,5,54.548
1618828830.32063,425.5625,7518,5,54.704
1618828833.0278,425.3125,7545,5,54.883
1618828835.70072,425.1875,7571,5,55.036
1618828838.34158,424.9375,7597,5,55.266
1618828840.99643,424.75,7624,5,55.42
1618828843.64956,424.5625,7650,5,55.666
1618828846.30092,424.375,7676,5,55.819
1618828849.00351,424.1875,7703,5,55.995
1618828851.70454,424,7730,5,56.141
1618828854.38531,423.8125,7757,5,56.39
1618828857.03177,423.5625,7782,5,56.609
1618828859.68373,423.5625,7808,5,56.761
1618828862.387,423.25,7836,5,56.905
1618828865.09035,423.125,7863,5,57.097
1618828867.78326,422.9375,7888,5,57.348
1618828870.47476,422.6875,7915,5,57.499
1618828873.15564,422.5625,7942,5,57.681
1618828875.80775,422.3125,7968,5,57.834
1618828878.46415,422.125,7994,5,58.073
1618828881.09712,422,8021,5,58.223
1618828883.74939,421.8125,8047,5,58.454
1618828886.3917,421.625,8073,5,58.6
1618828889.05464,421.375,8099,5,58.781
1618828891.76328,421.125,8126,5,58.934
1618828894.45524,421,8153,5,59.214
1618828897.14734,420.8125,8179,5,59.363
1618828899.84854,420.5625,8206,5,59.549
1618828902.54118,420.4375,8233,5,59.702
1618828905.24804,420.25,8260,5,59.883
1618828907.92918,420,8286,5,60.124
1618828910.56175,419.875,8312,5,60.304
1618828915.8642,419.5,8364,5,60.686
1618828918.51511,419.375,8391,5,60.838
1618828921.15899,419.1875,8417,5,61.012
1618828923.80662,419,8444,5,61.262
1618828929.10243,418.6875,8496,5,61.625
1618828931.75361,418.5,8522,5,61.768
1618828934.39464,418.25,8549,5,61.95
1618828937.03886,418.0625,8574,5,62.182
1618828939.69109,417.875,8601,5,62.33
1618828942.36261,417.625,8627,5,62.518
1618828945.03547,417.5625,8654,5,62.743
1618828947.68023,417.25,8679,5,62.923
1618828950.32204,417.125,8706,5,63.129
1618828952.95383,416.9375,8732,5,63.309
1618828955.62069,416.75,8759,5,63.453
1618828958.27237,416.6875,8784,5,63.676
1618828960.9204,416.375,8811,5,63.901
1618828963.56421,416.25,8837,5,64.05
1618828966.2142,416,8863,5,64.227
1618828968.84839,415.875,8889,5,64.424
1618828971.50664,415.875,8916,5,64.598
1618828974.14878,415.5,8942,5,64.803
1618828976.78826,415.3125,8968,5,64.981
1618828979.44922,415.125,8994,5,65.124
1618828982.09211,414.875,9021,5,65.362
1618828984.77253,414.8125,9047,5,65.51
1618828987.43346,414.625,9073,5,65.686
1618828990.05695,414.375,9099,5,65.919
1618828992.69874,414.1875,9126,5,66.095
1618828995.37775,414.0625,9152,5,66.238
1618828998.0265,413.875,9178,5,66.415
1618829000.66848,413.625,9204,5,66.63
1618829003.32349,413.5,9231,5,66.81
1618829005.96605,413.3125,9257,5,67.021
1618829008.61284,413.125,9283,5,67.198
1618829011.26403,412.9375,9309,5,67.341
1618829013.90571,412.75,9336,5,67.575
1618829016.55457,412.5625,9362,5,67.72
1618829019.20164,412.4375,9388,5,67.896
1618829021.84578,412.1875,9414,5,68.107
1618829024.50117,412,9441,5,68.287
1618829027.14609,411.8125,9466,5,68.435
1618829029.79686,411.625,9493,5,68.584
1618829032.43983,411.5,9519,5,68.832
1618829035.07979,411.3125,9545,5,68.978
1618829037.7365,411.0625,9571,5,69.201
1618829040.38087,410.9375,9597,5,69.363
1618829043.02197,410.75,9624,5,69.588
1618829045.70025,410.4375,9651,5,69.735
1618829048.36797,410.375,9676,5,69.904
1618829051.00997,410.1875,9703,5,70.141
1618829053.66594,410.0625,9729,5,70.322
1618829056.3115,409.8125,9756,5,70.471
1618829058.95965,409.625,9781,5,70.652
1618829061.61611,409.4375,9808,5,70.798
1618829064.31963,409.3125,9835,5,71.03
1618829067.01252,409.125,9862,5,71.246
1618829069.71572,408.9375,9888,5,71.469
1618829075.03918,408.5625,9941,5,71.822
1618829077.68664,408.4375,9967,5,71.963
1618829080.33384,408.25,9993,5,72.145
1618829082.95584,408.0625,10019,5,72.348
1618829085.65507,407.8125,10046,5,72.59
1618829088.32668,407.6875,10072,5,72.742
1618829090.98058,407.5,10098,5,72.919
1618829093.62104,407.3125,10125,5,73.064
1618829096.26574,407.125,10151,5,73.304
1618829098.91037,406.9375,10177,5,73.459
1618829101.55987,406.8125,10203,5,73.601
1618829104.21862,406.625,10230,5,73.782
1618829106.93511,406.4375,10257,5,73.989
1618829109.61576,406.1875,10283,5,74.169
1618829112.3104,406.0625,10310,5,74.317
1618829115.01753,405.875,10337,5,74.547
1618829117.70224,405.75,10363,5,74.783
1618829120.34908,405.5,10389,5,74.928
1618829122.99039,405.3125,10416,5,75.106
1618829125.64395,405.1875,10442,5,75.254
1618829130.92829,404.8125,10494,5,75.661
1618829133.58084,404.625,10520,5,75.835
1618829136.22877,404.4375,10547,5,75.98
1618829138.87316,404.25,10572,5,76.208
1618829141.52822,404.0625,10599,5,76.345
1618829144.24059,403.9375,10626,5,76.517
1618829146.91328,403.75,10653,5,76.728
1618829149.56892,403.5625,10678,5,76.909
1618829152.28064,403.375,10705,5,77.121
1618829154.96517,403.25,10732,5,77.299
1618829157.68011,403,10759,5,77.519
1618829160.34725,402.8125,10785,5,77.664
1618829162.9927,402.625,10812,5,77.838
1618829165.64444,402.4375,10838,5,78.061
1618829168.29236,402.25,10864,5,78.232
1618829170.95007,402.0625,10890,5,78.378
1618829173.67176,402,10917,5,78.519
1618829176.32997,401.75,10944,5,78.757
1618829178.97891,401.5625,10969,5,78.932
1618829184.26897,401.25,11022,5,79.296
1618829189.56014,400.9375,11074,5,79.673
1618829192.219,400.6875,11101,5,79.845
1618829194.87086,400.5,11127,5,79.986
1618829197.58048,400.375,11154,5,80.24
1618829200.26539,400.1875,11180,5,80.431
1618829202.97942,400,11207,5,80.616
1618829205.6527,399.8125,11234,5,80.761
1618829208.29611,399.625,11261,5,80.987
1618829210.94628,399.5,11286,5,81.19
1618829213.5939,399.375,11313,5,81.362
1618829216.24005,399.125,11339,5,81.503
1618829218.88746,399,11365,5,81.674
1618829224.17169,398.625,11417,5,82.055
1618829226.86148,398.375,11444,5,82.251
1618829229.52827,398.25,11470,5,82.424
1618829232.20165,398.25,11497,5,82.598
1618829234.87296,397.875,11523,5,82.735
1618829237.52588,397.75,11550,5,82.965
1618829240.23536,397.5,11576,5,83.145
1618829242.91605,397.3125,11603,5,83.298
1618829245.62805,397.1875,11630,5,83.52
1618829248.30536,397,11657,5,83.69
1618829250.94896,396.8125,11682,5,83.921
1618829253.60074,396.625,11709,5,84.06
1618829256.24225,396.5,11735,5,84.231
1618829258.89811,396.3125,11762,5,84.37
1618829261.54102,396.125,11787,5,84.609
1618829264.18308,396,11813,5,84.751
1618829266.84096,395.75,11840,5,84.93
1618829269.56255,395.625,11866,5,85.123
1618829272.22548,395.375,11893,5,85.354
1618829277.52485,395.125,11946,5,85.669
1618829280.1736,394.875,11971,5,85.803
1618829282.82472,394.75,11998,5,86.047
1618829285.53125,394.625,12025,5,86.188
1618829290.85285,394.1875,12077,5,86.563
1618829293.49854,394.0625,12104,5,86.828
1618829296.15095,393.875,12130,5,86.963
1618829304.09432,393.3125,12209,5,87.521
1618829306.7504,393.125,12235,5,87.663
1618829309.46066,393,12262,5,87.836
1618829312.14204,392.8125,12288,5,88.02
